'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5613,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5614,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5615,3,,,,'2021-07-30','2021-07-30','Manual','2021-07-30','Camioneta 3ton','2021-07-31','2021-07-31','Se colectó de un derrumbe con equipo de trepa','Geovanni Mtz',
5616,2,,,,'2021-08-04','2021-08-04','Manual','2021-08-04','Camioneta 3/4 Mitsubishi','2021-08-07','2021-08-07',,'Geovanni Mtz',
5618,1,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5619,2,,,,'2020-11-09','2020-11-09','Manual','2020-11-09','Camioneta 3/4','2020-11-09','2020-11-09','Abundancia de la planta en temporada de lluvia','Geovanni Mtz','Vianney Hdz'
5624,2,,,,'2020-12-12','2020-12-12','Manual','2020-12-12','Camioneta 3/4','2020-12-15','2020-12-15','Solo se colectaron semillas','Geovanni Mtz','Vianney Hdz'
5625,2,,,,'2020-12-12','2020-12-12','Manual','2020-12-12','Camioneta 3/4','2020-12-15','2020-12-15','Flor morada, solo se colectaron semillas','Geovanni Mtz','Vianney Hdz'
5626,2,,,,'2020-12-13','2020-12-13','Manual','2020-12-13','Camioneta 3/4','2020-12-15','2020-12-15','Solo se colectaron semillas/Flores azules pequeñas','Geovanni Mtz','Vianney Hdz'
5627,2,,,,'2020-12-13','2020-12-13','Manual','2020-12-13','Camioneta 3/4','2020-12-15','2020-12-15','Solo se colectaron semillas/Flores moradas','Geovanni Mtz','Vianney Hdz'
5628,2,,,,'2020-12-13','2020-12-13','Manual','2020-12-13','Camioneta 3/4','2020-12-15','2020-12-15','Solo se colectaron semillas/Flores azules','Geovanni Mtz','Vianney Hdz'
5629,2,,,,'2020-12-14','2020-12-14','Manual','2020-12-14','Camioneta 3/4','2020-12-15','2020-12-15','Solo se colectaron semillas/Flores moradas','Geovanni Mtz','Vianney Hdz'
5630,2,,,,'2020-12-16','2020-12-16','Manual',,'Camioneta','2020-12-19','2020-12-19','Bitácora dice que está Muerta','Vianney Hdz','Issis Moreno'
5631,2,,,,'2020-12-23','2020-12-23','Manual','2020-12-23','Camioneta 3/4','2020-12-23','2020-12-23',,'Geovanni Mtz','Vianney Hdz'
5632,12,,,,'2021-06-03','2021-06-04','Triple con garrucha','2021-06-04','Torton','2021-06-04','2021-06-04',,'Geovanni Mtz','Vianney Hdz'
5633,2,,,,'2021-01-02','2021-01-02','Manual','2021-01-02','Camioneta 3/4','2021-01-04','2021-01-04','Bitácora dice que está Muerta, sin coordenadas geográficas','Geovanni Mtz','Vianney Hdz'
